reporter_name,gene_name,gene_entrez_id
622659,amyA,946434
622660,yfcO,946620
622661,fbaB,946632
622662,xapA,946878
622663,sbcB,946529
622664,modE,945366
622665,pheM,947212
622666,ryeD,2847674
622667,yfjVpseudogene,947563
622668,renD,
622692,phoE,944926
622697,sfmH,945407
622700,ydgJ,947164
622714,cusS,945978
622724,yieE,948226
622757,pgm,945271
622764,yhjV,948057
622772,insOpseudogene_v2,
622779,ydhM,946166
622787,idi,949020
622796,yjaB,948514
622826,cpsG,946574
622828,ymjCpseudogene,1450258
622833,dsrA,946470
622834,yfjH,946123
622835,yfcU,
622836,ygdT,5061519
622837,yciW,945859
622838,sgrS,4056038
622839,yjfZ,948719
622840,fliO,946458
622841,ydfX,946112
622842,yoeB,1450274
622843,fliN,946423
622844,cspF,946090
622845,yfdF,946819
622846,sufC,946128
622847,thrU,948476
622848,yqfB,947380
622849,yggI,947443
622850,ryeB,2847772
622851,ydhR,946177
622852,ybdH,945212
622853,yfjP,947124
622854,ychGpseudogene,
622855,tff,2847773
622856,galF,946560
622857,yncL,5061503
622858,ydaG,945907
622859,rcsD,946717
622860,xapR,946862
622861,recQ,948318
622862,metR,948310
622863,amyA,946434
622864,yfcO,946620
622865,fbaB,946632
622866,xapA,946878
622867,sbcB,946529
622868,modE,945366
622869,pheM,947212
622870,ryeD,2847674
622871,yfjVpseudogene,947563
622872,renD,
622884,rutR,945075
622896,yjgXpseudogene,
622902,yaiT_v2,
622905,ybiC,945412
622909,yjbT,5061528
622910,rluB,945840
622912,ybgH,947368
622946,phnE,948625
622956,yehHpseudogene,
622972,yrfF,947905
622974,udp,948987
622994,yggG,945173
623009,matB,948759
623020,recX,947172
623027,ynaK,947417
623037,pinHpseudogene,947250
623038,paaB,947595
623039,gnd,946554
623040,kdpC,947508
623041,rph_v2,948156
623042,dcm,946479
623043,gmd,946562
623044,arpA,944933
623045,rof,944891
623046,ytfG,948731
623047,ydfT,946103
623048,yoeA_v2,
623049,chpS,948739
623050,paaC,945956
623051,ynfO,1450267
623052,psrN,2847692
623053,bglA,947378
623054,ynaA,947543
623055,crl,945077
623056,yfdLpseudogene,949099
623057,zraP,948507
623058,yfdQ,946827
623059,yfjJ,947112
623060,ilvGpseudogene_v2,
623061,gltF,947746
623062,ybgP,945110
623063,rzpRpseudogene,945928
623064,galM,944943
623065,yfdK,948822
623066,ydfQ,946100
623067,yfbK,946743
623068,paaK,945963
623069,yeaM,946590
623070,fliR,946464
623071,rhaT,948398
623072,dcyD,946831
623073,yrhA_v2,
623074,ypaB,5061511
623075,yabP_v2,
623076,yedNpseudogene_v3,
623088,rutR,945075
623100,yjgXpseudogene,
623106,yaiT_v2,
623109,ybiC,945412
623113,yjbT,5061528
623114,rluB,945840
623116,ybgH,947368
623150,phnE,948625
623160,yehHpseudogene,
623176,yrfF,947905
623178,udp,948987
623198,yggG,945173
623213,matB,948759
623224,recX,947172
623231,ynaK,947417
623241,pinHpseudogene,947250
623242,paaB,947595
623243,gnd,946554
623244,kdpC,947508
623245,rph_v2,948156
623246,dcm,946479
623247,gmd,946562
623248,arpA,944933
623249,rof,944891
623250,ytfG,948731
623251,ydfT,946103
623252,yoeA_v2,
623253,chpS,948739
623254,paaC,945956
623255,ynfO,1450267
623256,psrN,2847692
623257,bglA,947378
623258,ynaA,947543
623259,crl,945077
623260,yfdLpseudogene,949099
623261,zraP,948507
623262,yfdQ,946827
623263,yfjJ,947112
623264,ilvGpseudogene_v2,
623265,gltF,947746
623266,ybgP,945110
623267,rzpRpseudogene,945928
623268,galM,944943
623269,yfdK,948822
623270,ydfQ,946100
623271,yfbK,946743
623272,paaK,945963
623273,yeaM,946590
623274,fliR,946464
623275,rhaT,948398
623276,dcyD,946831
623277,yrhA_v2,
623278,ypaB,5061511
623279,yabP_v2,
623280,yedNpseudogene_v3,
623304,ylbEpseudogene,
623321,fbaA,947415
623324,yddM,946040
623325,yajI,947233
623329,yeeL,2847764
623349,ftsK,945102
623387,yghOpseudogene,947701
623391,fucI,946195
623410,yfaL,946595
623428,yejB,946679
623445,rcsB,947441
623446,nupX,946655
623447,ybcY,945170
623448,ybdB,945215
623449,hcaF,946997
623450,ytfQ,948746
623451,srlE,948933
623452,gabD,948060
623453,ybaY,945070
623454,yjhF,949102
623455,paaF,946011
623456,rrfH,944898
623457,purK,945153
623458,yedSpseudogene_v2,
623459,rhtC,948317
623460,ygbF,947213
623461,wcaF,946578
623462,fliZ,946833
623463,rep,948292
623464,sgbU,948100
623465,ltaE,944955
623466,pyrE,948157
623467,lpxH,949053
623468,pinE,945721
623469,yhcF,947735
623470,yneL,946063
623471,ydiB,946200
623472,cybCpseudogene,948758
623473,ylbG_v2,946803
623474,nfsB,945778
623475,micA,2847697
623476,fliT,946433
623508,ylbEpseudogene,
623525,fbaA,947415
623528,yddM,946040
623529,yajI,947233
623533,yeeL,2847764
623553,ftsK,945102
623591,yghOpseudogene,947701
623595,fucI,946195
623614,yfaL,946595
623632,yejB,946679
623649,rcsB,947441
623650,nupX,946655
623651,ybcY,945170
623652,ybdB,945215
623653,hcaF,946997
623654,ytfQ,948746
623655,srlE,948933
623656,gabD,948060
623657,ybaY,945070
623658,yjhF,949102
623659,paaF,946011
623660,rrfH,944898
623661,purK,945153
623662,yedSpseudogene_v2,
623663,rhtC,948317
623664,ygbF,947213
623665,wcaF,946578
623666,fliZ,946833
623667,rep,948292
623668,sgbU,948100
623669,ltaE,944955
623670,pyrE,948157
623671,lpxH,949053
623672,pinE,945721
623673,yhcF,947735
623674,yneL,946063
623675,ydiB,946200
623676,cybCpseudogene,948758
623677,ylbG_v2,946803
623678,nfsB,945778
623679,micA,2847697
623680,fliT,946433
623693,aldA,945672
